Season,Plot,Seed_species,Seed_removal_percent
Dry,A,Spp_1,87
Dry,A,Spp_1,93
Dry,A,Spp_1,47
Dry,A,Spp_1,61
Dry,A,Spp_1,73
Dry,A,Spp_1,12
Dry,A,Spp_1,69
Dry,A,Spp_1,21
Dry,A,Spp_1,81
Dry,A,Spp_1,98
Dry,A,Spp_2,41
Dry,A,Spp_2,22
Dry,A,Spp_2,23
Dry,A,Spp_2,88
Dry,A,Spp_2,16
Dry,A,Spp_2,63
Dry,A,Spp_2,96
Dry,A,Spp_2,69
Dry,A,Spp_2,92
Dry,A,Spp_2,69
Dry,A,Spp_3,21
Dry,A,Spp_3,32
Dry,A,Spp_3,42
Dry,A,Spp_3,34
Dry,A,Spp_3,63
Dry,A,Spp_3,81
Dry,A,Spp_3,12
Dry,A,Spp_3,16
Dry,A,Spp_3,35
Dry,A,Spp_3,74
Dry,A,Spp_4,76
Dry,A,Spp_4,49
Dry,A,Spp_4,84
Dry,A,Spp_4,50
Dry,A,Spp_4,75
Dry,A,Spp_4,78
Dry,A,Spp_4,67
Dry,A,Spp_4,70
Dry,A,Spp_4,80
Dry,A,Spp_4,99
Dry,B,Spp_1,29
Dry,B,Spp_1,4
Dry,B,Spp_1,17
Dry,B,Spp_1,18
Dry,B,Spp_1,4
Dry,B,Spp_1,31
Dry,B,Spp_1,48
Dry,B,Spp_1,39
Dry,B,Spp_1,14
Dry,B,Spp_1,17
Dry,B,Spp_2,50
Dry,B,Spp_2,13
Dry,B,Spp_2,43
Dry,B,Spp_2,48
Dry,B,Spp_2,29
Dry,B,Spp_2,5
Dry,B,Spp_2,3
Dry,B,Spp_2,31
Dry,B,Spp_2,5
Dry,B,Spp_2,29
Dry,B,Spp_3,46
Dry,B,Spp_3,49
Dry,B,Spp_3,28
Dry,B,Spp_3,4
Dry,B,Spp_3,15
Dry,B,Spp_3,21
Dry,B,Spp_3,18
Dry,B,Spp_3,43
Dry,B,Spp_3,8
Dry,B,Spp_3,18
Dry,B,Spp_4,50
Dry,B,Spp_4,19
Dry,B,Spp_4,34
Dry,B,Spp_4,6
Dry,B,Spp_4,1
Dry,B,Spp_4,29
Dry,B,Spp_4,37
Dry,B,Spp_4,40
Dry,B,Spp_4,16
Dry,B,Spp_4,8
Dry,C,Spp_1,81
